sample_id,group,s3_path,filename
H1310198,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310198_S56_L001_R1_001.fastq.gz,H1310198_S56_L001_R1_001.fastq.gz
H1310199,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310199_S57_L001_R1_001.fastq.gz,H1310199_S57_L001_R1_001.fastq.gz
H1310202,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310202_S60_L001_R1_001.fastq.gz,H1310202_S60_L001_R1_001.fastq.gz
H1310203,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310203_S61_L001_R1_001.fastq.gz,H1310203_S61_L001_R1_001.fastq.gz
H1310206,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310206_S2_L001_R1_001.fastq.gz,H1310206_S2_L001_R1_001.fastq.gz
H1310209,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310209_S5_L001_R1_001.fastq.gz,H1310209_S5_L001_R1_001.fastq.gz
H1310211,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310211_S7_L001_R1_001.fastq.gz,H1310211_S7_L001_R1_001.fastq.gz
H1310219,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310219_S14_L001_R1_001.fastq.gz,H1310219_S14_L001_R1_001.fastq.gz
H1310223,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310223_S19_L001_R1_001.fastq.gz,H1310223_S19_L001_R1_001.fastq.gz
H1310224,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310224_S20_L001_R1_001.fastq.gz,H1310224_S20_L001_R1_001.fastq.gz
H1310234,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310234_S30_L001_R1_001.fastq.gz,H1310234_S30_L001_R1_001.fastq.gz
H1310236,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310236_S32_L001_R1_001.fastq.gz,H1310236_S32_L001_R1_001.fastq.gz
H1310238,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310238_S34_L001_R1_001.fastq.gz,H1310238_S34_L001_R1_001.fastq.gz
H1310240,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310240_S36_L001_R1_001.fastq.gz,H1310240_S36_L001_R1_001.fastq.gz
H1310242,Case,s3://labmember/JonghwaKim/OC/16S/Case/H1310242_S38_L001_R1_001.fastq.gz,H1310242_S38_L001_R1_001.fastq.gz
H1900001,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900001_S16_L001_R1_001.fastq.gz,H1900001_S16_L001_R1_001.fastq.gz
